"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J","300398","546614","-10","28"
"CCC","2014J","642591","909091","116","1"
"CCC","2014J","642591","909013","116","1"
"CCC","2014J","642291","909091","116","1"
"CCC","2014J","642291","909097","116","6"
"CCC","2014J","642291","909013","116","1"
"CCC","2014J","642291","909232","116","1"
"CCC","2014J","642291","909091","116","3"
"CCC","2014J","642291","909091","116","10"
"CCC","2014J","642291","909091","116","2"
"CCC","2014J","642850","909013","116","2"
"CCC","2014J","646481","909013","116","1"
"CCC","2014J","646351","909240","116","1"
"CCC","2014J","646351","909332","116","1"
"CCC","2014J","646351","909332","116","1"
"CCC","2014J","646351","909013","116","1"
"CCC","2014J","646406","909018","116","8"
"CCC","2014J","646406","909300","116","2"
"CCC","2014J","646406","909014","116","1"
"CCC","2014J","646406","909020","116","2"
"CCC","2014J","646406","909014","116","1"
"CCC","2014J","646406","909020","116","4"
"CCC","2014J","646406","909013","116","11"
"CCC","2014J","646406","909300","116","2"
"CCC","2014J","646406","909232","116","3"
"CCC","2014J","646406","909018","116","3"
"DDD","2013B","542049","547959","199","2"
"DDD","2013B","542049","547946","199","1"
"DDD","2013B","542049","547303","199","4"
"DDD","2013B","546074","547303","199","2"
"DDD","2013B","546074","547942","199","1"
"DDD","2013B","546074","547774","199","1"
"DDD","2013B","546074","547545","199","2"
"DDD","2013B","546074","547947","199","1"
"DDD","2013B","546074","547946","199","2"
"DDD","2013B","546074","547958","199","1"
"EEE","2013J","566310","551010","61","8"
"EEE","2013J","566310","551013","61","1"
"EEE","2013J","566310","551024","61","7"
"EEE","2013J","566310","551061","61","1"
"EEE","2013J","566310","551013","61","6"
"EEE","2013J","566310","551011","61","4"
"EEE","2013J","566310","551013","61","3"
"EEE","2013J","566310","551011","61","7"
"EEE","2013J","566201","551172","61","1"
"EEE","2013J","566201","551011","61","1"
"EEE","2013J","566201","551011","35","1"
